date,close,high,low,open,volume
2025-06-05,,TSLA,TSLA,TSLA,TSLA
2025-06-06,,,,,
2025-06-09,,324.54998779296875,273.2099914550781,322.489990234375,287499800
2025-06-10,,305.5,291.1400146484375,298.8299865722656,164747700
2025-06-11,,309.8299865722656,281.8500061035156,285.9599914550781,140908900
2025-06-12,,327.8299865722656,310.6700134277344,314.94000244140625,151256500
2025-06-13,,335.5,322.5,334.3999938964844,122611400
2025-06-16,,332.55999755859375,316.8599853515625,323.0799865722656,105127500
2025-06-17,,332.989990234375,313.29998779296875,313.9700012207031,128964300
2025-06-18,,332.04998779296875,326.4100036621094,331.2900085449219,83925900
2025-06-19,,327.260009765625,314.739990234375,326.0899963378906,88282700
2025-06-20,,329.32000732421875,315.45001220703125,317.30999755859375,95137700
2025-06-23,,332.3599853515625,317.7799987792969,327.95001220703125,108688000
2025-06-24,,357.5400085449219,327.4800109863281,327.5400085449219,190716800
2025-06-25,,356.260009765625,340.44000244140625,356.1700134277344,114736200
2025-06-26,,343.0,320.3999938964844,342.70001220703125,119845100
2025-06-27,,331.04998779296875,323.6099853515625,324.6099853515625,80440900
2025-06-30,,329.3399963378906,317.5,324.510009765625,89067000
2025-07-01,,325.5799865722656,316.6000061035156,319.8999938964844,76695100
2025-07-02,,305.8900146484375,293.2099914550781,298.4599914550781,145085700
2025-07-03,,316.8299865722656,303.82000732421875,312.6300048828125,119191500
2025-07-04,,318.45001220703125,312.760009765625,317.989990234375,58042300
