date,close,high,low,open,volume
2025-06-05,,MSFT,MSFT,MSFT,MSFT
2025-06-06,,,,,
2025-06-09,,469.6499938964844,464.0299987792969,464.9599914550781,20131700
2025-06-10,,473.3399963378906,468.7799987792969,470.0899963378906,15285600
2025-06-11,,473.42999267578125,468.6199951171875,469.70001220703125,16469900
2025-06-12,,472.79998779296875,466.9599914550781,471.19000244140625,15375900
2025-06-13,,475.4700012207031,469.6600036621094,470.0199890136719,16399200
2025-06-16,,480.4200134277344,473.5199890136719,475.0199890136719,18950600
2025-06-17,,479.17999267578125,472.760009765625,476.4100036621094,16814500
2025-06-18,,480.69000244140625,475.0,475.2099914550781,15626100
2025-06-19,,478.739990234375,474.0799865722656,475.3999938964844,15414100
2025-06-20,,481.0,474.4599914550781,478.0,17526500
2025-06-23,,483.4599914550781,476.8699951171875,482.2300109863281,37576200
2025-06-24,,487.75,472.510009765625,478.2099914550781,24864000
2025-06-25,,491.8500061035156,486.79998779296875,488.95001220703125,22305600
2025-06-26,,494.55999755859375,489.3900146484375,492.0400085449219,17495100
2025-06-27,,498.0400085449219,492.80999755859375,492.9800109863281,21578900
2025-06-30,,499.29998779296875,493.0299987792969,497.54998779296875,34539200
2025-07-01,,500.760009765625,495.3299865722656,497.0400085449219,28369000
2025-07-02,,498.04998779296875,490.9800109863281,496.4700012207031,19945400
2025-07-03,,493.5,488.70001220703125,489.989990234375,16319600
2025-07-04,,500.1300048828125,493.44000244140625,493.80999755859375,13984800
