date,close,high,low,open,volume
2025-06-05,,AAPL,AAPL,AAPL,AAPL
2025-06-06,,,,,
2025-06-09,,204.75,200.14999389648438,203.5,55126100
2025-06-10,,205.6999969482422,202.0500030517578,203.0,46607700
2025-06-11,,206.0,200.02000427246094,204.38999938964844,72862600
2025-06-12,,204.35000610351562,200.57000732421875,200.60000610351562,54672600
2025-06-13,,204.5,198.41000366210938,203.5,60989900
2025-06-16,,199.67999267578125,197.36000061035156,199.0800018310547,43904600
2025-06-17,,200.3699951171875,195.6999969482422,199.72999572753906,51447300
2025-06-18,,198.69000244140625,196.55999755859375,197.3000030517578,43020700
2025-06-19,,198.38999938964844,195.2100067138672,197.1999969482422,38856200
2025-06-20,,197.57000732421875,195.07000732421875,195.94000244140625,45394700
2025-06-23,,201.6999969482422,196.86000061035156,198.24000549316406,96813500
2025-06-24,,202.3000030517578,198.9600067138672,201.6300048828125,55814300
2025-06-25,,203.44000244140625,200.1999969482422,202.58999633789062,54064000
2025-06-26,,203.6699981689453,200.6199951171875,201.4499969482422,39525700
2025-06-27,,202.63999938964844,199.4600067138672,201.42999267578125,50799100
2025-06-30,,203.22000122070312,200.0,201.88999938964844,73188600
2025-07-01,,207.38999938964844,199.25999450683594,202.00999450683594,91912800
2025-07-02,,210.19000244140625,206.13999938964844,206.6699981689453,78788900
2025-07-03,,213.33999633789062,208.13999938964844,208.91000366210938,67941800
2025-07-04,,214.64999389648438,211.80999755859375,212.14999389648438,34955800
