ticker,target_weight,source_weights,notes
NVDA,0.1984,0.1984,baseline method=cap ts=2025-09-30T21:45:32
MSFT,0.1775,0.1775,baseline method=cap ts=2025-09-30T21:45:32
AAPL,0.168,0.1680,baseline method=cap ts=2025-09-30T21:45:32
GOOGL,0.1422,0.1422,baseline method=cap ts=2025-09-30T21:45:32
AMZN,0.1139,0.1139,baseline method=cap ts=2025-09-30T21:45:32
ABBV,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:45:32
AMD,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:45:32
ARKK,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:45:32
BAC,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:45:32
BITO,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:45:32
BLK,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:45:32
BRK-B,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:45:32
C,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:45:32
CVX,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:45:32
DBA,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:45:32
DIA,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:45:32
DIS,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:45:32
GBTC,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:45:32
GLD,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:45:32
GS,0.013800000000000166,0.0138,baseline method=cap ts=2025-09-30T21:45:32
