ticker,target_weight,source_weights,notes
AAPL,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
ABBV,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
AMD,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
AMZN,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
ARKK,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
BAC,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
BITO,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
BLK,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
BRK-B,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
C,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
CVX,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
DBA,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
DIA,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
DIS,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
GBTC,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
GLD,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
GOOGL,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
GS,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
HD,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
INTC,0.05,0.0500,baseline method=cap ts=2025-09-30T20:48:38
