ticker,target_weight,source_weights,notes
NVDA,0.1984,0.1984,baseline method=cap ts=2025-09-30T21:46:16
MSFT,0.1775,0.1775,baseline method=cap ts=2025-09-30T21:46:16
AAPL,0.168,0.1680,baseline method=cap ts=2025-09-30T21:46:16
GOOGL,0.1422,0.1422,baseline method=cap ts=2025-09-30T21:46:16
AMZN,0.1139,0.1139,baseline method=cap ts=2025-09-30T21:46:16
ABBV,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:46:16
AMD,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:46:16
ARKK,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:46:16
BAC,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:46:16
BITO,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:46:16
BLK,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:46:16
BRK-B,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:46:16
C,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:46:16
CVX,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:46:16
DBA,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:46:16
DIA,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:46:16
DIS,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:46:16
GBTC,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:46:16
GLD,0.0133,0.0133,baseline method=cap ts=2025-09-30T21:46:16
GS,0.013800000000000166,0.0138,baseline method=cap ts=2025-09-30T21:46:16
