ticker,target_weight,source_weights,notes
AAPL,0.100,0.1000 alpha=0.000,"baseline allocation"
ABBV,0.100,0.1000 alpha=0.000,"baseline allocation"
AMZN,0.100,0.1000 alpha=0.000,"baseline allocation"
GOOGL,0.100,0.1000 alpha=0.000,"baseline allocation"
MSFT,0.100,0.1000 alpha=0.000,"baseline allocation"
JPM,0.100,0.1000 alpha=0.000,"baseline allocation"
BRK-B,0.100,0.1000 alpha=0.000,"baseline allocation"
XLE,0.100,0.1000 alpha=0.000,"baseline allocation"
SPY,0.100,0.1000 alpha=0.000,"baseline allocation"
TLT,0.100,0.1000 alpha=0.000,"baseline allocation"
