ticker,target_weight,source_weights,notes
NVDA,0.1300,0.1300,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
MSFT,0.1300,0.1300,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
AAPL,0.1300,0.1300,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
GOOGL,0.1300,0.1300,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
AMZN,0.1300,0.1300,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
BRK-B,0.1109,0.1109,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
ABBV,0.0400,0.0400,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
BAC,0.0399,0.0399,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
CVX,0.0284,0.0284,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
AMD,0.0266,0.0266,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
GS,0.0250,0.0250,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
DIS,0.0210,0.0210,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
C,0.0196,0.0196,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
BLK,0.0187,0.0187,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
GLD,0.0128,0.0128,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
DIA,0.0040,0.0040,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
GBTC,0.0019,0.0019,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
ARKK,0.0007,0.0007,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
BITO,0.0004,0.0004,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
DBA,0.0001,0.0001,baseline method=cap top=20 keep-missing-equal=0 missing-share=0.00 max-weight=0.13 known=20 missing=0 cap-effective=0.1300 ts=2025-10-02T00:03:55 group=known
