ticker,target_weight,source_weights,notes
NVDA,0.1500,0.1500,baseline method=cap ts=2025-09-30T23:42:59
MSFT,0.1500,0.1500,baseline method=cap ts=2025-09-30T23:42:59
AAPL,0.1500,0.1500,baseline method=cap ts=2025-09-30T23:42:59
GOOGL,0.1500,0.1500,baseline method=cap ts=2025-09-30T23:42:59
AMZN,0.1500,0.1500,baseline method=cap ts=2025-09-30T23:42:59
ABBV,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:42:59
AMD,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:42:59
ARKK,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:42:59
BAC,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:42:59
BITO,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:42:59
BLK,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:42:59
BRK-B,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:42:59
C,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:42:59
CVX,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:42:59
DBA,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:42:59
DIA,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:42:59
DIS,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:42:59
GBTC,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:42:59
GLD,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:42:59
GS,0.0162,0.0162,baseline method=cap ts=2025-09-30T23:42:59
