ticker,target_weight,source_weights,notes
NVDA,0.1600,0.1600,baseline method=cap ts=2025-09-30T23:40:32
MSFT,0.1600,0.1600,baseline method=cap ts=2025-09-30T23:40:32
AAPL,0.1600,0.1600,baseline method=cap ts=2025-09-30T23:40:32
GOOGL,0.1600,0.1600,baseline method=cap ts=2025-09-30T23:40:32
AMZN,0.1600,0.1600,baseline method=cap ts=2025-09-30T23:40:32
ABBV,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:32
AMD,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:32
ARKK,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:32
BAC,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:32
BITO,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:32
BLK,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:32
BRK-B,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:32
C,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:32
CVX,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:32
DBA,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:32
DIA,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:32
DIS,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:32
GBTC,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:32
GLD,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:32
GS,0.0138,0.0138,baseline method=cap ts=2025-09-30T23:40:32
