ticker,target_weight,source_weights,notes
NVDA,0.1500,0.1500,baseline method=cap ts=2025-09-30T23:46:13
MSFT,0.1500,0.1500,baseline method=cap ts=2025-09-30T23:46:13
AAPL,0.1500,0.1500,baseline method=cap ts=2025-09-30T23:46:13
GOOGL,0.1500,0.1500,baseline method=cap ts=2025-09-30T23:46:13
AMZN,0.1500,0.1500,baseline method=cap ts=2025-09-30T23:46:13
ABBV,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:46:13
AMD,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:46:13
ARKK,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:46:13
BAC,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:46:13
BITO,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:46:13
BLK,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:46:13
BRK-B,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:46:13
C,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:46:13
CVX,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:46:13
DBA,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:46:13
DIA,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:46:13
DIS,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:46:13
GBTC,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:46:13
GLD,0.0167,0.0167,baseline method=cap ts=2025-09-30T23:46:13
GS,0.0162,0.0162,baseline method=cap ts=2025-09-30T23:46:13
