ticker,target_weight,source_weights,notes
NVDA,0.1600,0.1600,baseline method=cap ts=2025-09-30T23:40:58
MSFT,0.1600,0.1600,baseline method=cap ts=2025-09-30T23:40:58
AAPL,0.1600,0.1600,baseline method=cap ts=2025-09-30T23:40:58
GOOGL,0.1600,0.1600,baseline method=cap ts=2025-09-30T23:40:58
AMZN,0.1600,0.1600,baseline method=cap ts=2025-09-30T23:40:58
ABBV,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:58
AMD,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:58
ARKK,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:58
BAC,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:58
BITO,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:58
BLK,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:58
BRK-B,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:58
C,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:58
CVX,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:58
DBA,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:58
DIA,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:58
DIS,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:58
GBTC,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:58
GLD,0.0133,0.0133,baseline method=cap ts=2025-09-30T23:40:58
GS,0.0138,0.0138,baseline method=cap ts=2025-09-30T23:40:58
