date,ticker,close,predicted_close,signal
2020-08-05,AAPL,106.98835754394533,107.28279420963608,BUY
2020-08-06,AAPL,110.72109985351562,110.6057589071346,SELL
2020-08-07,AAPL,108.20376586914062,108.3020843745124,BUY
2020-08-10,AAPL,109.7764892578125,109.53162590526028,SELL
2020-08-11,AAPL,106.51175689697266,106.76621142035113,BUY
2020-08-12,AAPL,110.05158996582033,110.14501563751628,BUY
2020-08-13,AAPL,111.9992218017578,112.1367563100048,BUY
2020-08-14,AAPL,111.89942932128906,111.79593184525832,SELL
2020-08-17,AAPL,111.60726928710938,111.86267735755315,BUY
2020-08-18,AAPL,112.53726959228516,112.85614534868212,BUY
2020-08-19,AAPL,112.67848205566406,113.1256626456197,BUY
2020-08-20,AAPL,115.1787567138672,115.36377650532384,BUY
2020-08-21,AAPL,121.11421966552734,120.59993138185776,SELL
2020-08-24,AAPL,122.56277465820312,121.92620961040038,SELL
2020-08-25,AAPL,121.55729675292967,121.34554577840716,SELL
2020-08-26,AAPL,123.21036529541016,123.2318263425872,BUY
2020-08-27,AAPL,121.73746490478516,121.791641291957,BUY
2020-08-28,AAPL,121.54024505615234,121.70344380268524,BUY
2020-08-31,AAPL,125.66194915771484,125.55345597608444,SELL
2020-09-01,AAPL,130.66737365722656,130.40912095215035,SELL
2020-09-02,AAPL,127.96016693115234,127.26360560745444,SELL
2020-09-03,AAPL,117.715576171875,117.94029469775045,BUY
2020-09-04,AAPL,117.7934799194336,116.07373543813206,SELL
2020-09-08,AAPL,109.8665771484375,110.65740701467702,BUY
2020-09-09,AAPL,114.24876403808594,114.31178207378446,BUY
2020-09-10,AAPL,110.51903533935548,110.60697559739836,BUY
2020-09-11,AAPL,109.06803894042967,109.00430093357504,SELL
2020-09-14,AAPL,112.34008026123048,112.30907097298736,SELL
2020-09-15,AAPL,112.51536560058594,112.41684507814875,SELL
2020-09-16,AAPL,109.19461822509766,109.60120633593016,BUY
2020-09-17,AAPL,107.45147705078124,107.71370437772372,BUY
2020-09-18,AAPL,104.0431137084961,103.95283038042064,SELL
2020-09-21,AAPL,107.19831085205078,106.76572966800552,SELL
2020-09-22,AAPL,108.8830108642578,108.60066462143875,SELL
2020-09-23,AAPL,104.31578063964844,104.67705483378744,BUY
2020-09-24,AAPL,105.3870086669922,105.72619204361315,BUY
2020-09-25,AAPL,109.3406982421875,109.26838100255786,SELL
2020-09-28,AAPL,111.9505386352539,111.87927727330374,SELL
2020-09-29,AAPL,111.10330200195312,111.53799012382412,BUY
2020-09-30,AAPL,112.77828979492188,113.12786643912212,BUY
2020-10-01,AAPL,113.7326431274414,113.9265487578316,BUY
2020-10-02,AAPL,110.06133270263672,110.5688493638058,BUY
2020-10-05,AAPL,113.45023345947266,113.63141514981088,BUY
2020-10-06,AAPL,110.19766998291016,110.3620712701098,BUY
2020-10-07,AAPL,112.06742095947266,112.43507827535858,BUY
2020-10-08,AAPL,111.96028137207033,112.37957502674166,BUY
2020-10-09,AAPL,113.9079360961914,114.14133442104718,BUY
2020-10-12,AAPL,121.1434326171875,120.82615109302547,SELL
2020-10-13,AAPL,117.92981719970705,117.64928826156896,SELL
2020-10-14,AAPL,118.0174560546875,118.2497490973,BUY
2020-10-15,AAPL,117.55001068115234,117.73890620900886,BUY
2020-10-16,AAPL,115.90426635742188,116.27828090847038,BUY
2020-10-19,AAPL,112.94385528564452,113.33912389144336,BUY
2020-10-20,AAPL,114.43378448486328,114.79154889973869,BUY
2020-10-21,AAPL,113.810546875,114.45660308458842,BUY
2020-10-22,AAPL,112.7198715209961,112.99790850156027,BUY
2020-10-23,AAPL,112.02845001220705,112.37613014712905,BUY
2020-10-26,AAPL,112.03816986083984,112.3512386506104,BUY
2020-10-27,AAPL,113.54761505126952,113.8178969878403,BUY
2020-10-28,AAPL,108.28897857666016,108.67666396105268,BUY
2020-10-29,AAPL,112.30113220214844,112.60858622796016,BUY
2020-10-30,AAPL,106.0102310180664,106.14413731187403,BUY
2020-11-02,AAPL,105.92257690429688,106.25173657273928,BUY
2020-11-03,AAPL,107.5488739013672,107.88677785065136,BUY
2020-11-04,AAPL,111.94080352783205,111.94226949582844,BUY
2020-11-05,AAPL,115.91400146484376,116.04435042501431,BUY
2020-11-06,AAPL,115.78231811523438,115.75631948361952,SELL
2020-11-09,AAPL,113.47036743164062,113.93397530011636,BUY
2020-11-10,AAPL,113.12894439697266,113.36520162499588,BUY
2020-11-11,AAPL,116.5626983642578,116.65068258054193,BUY
2020-11-12,AAPL,116.28956604003906,116.68550071125404,BUY
2020-11-13,AAPL,116.33834838867188,116.54114134633264,BUY
2020-11-16,AAPL,117.35287475585938,117.62702952134464,BUY
2020-11-17,AAPL,116.46516418457033,117.00753448421024,BUY
2020-11-18,AAPL,115.13848876953124,115.7785923437996,BUY
2020-11-19,AAPL,115.7335205078125,116.04093434808632,BUY
2020-11-20,AAPL,114.4653778076172,114.96147624538256,BUY
2020-11-23,AAPL,111.0608901977539,111.48161287426672,BUY
2020-11-24,AAPL,112.34854125976562,112.48366096427397,BUY
2020-11-25,AAPL,113.1874771118164,113.66067047855654,BUY
2020-11-27,AAPL,113.73375701904295,114.34480785639798,BUY
2020-11-30,AAPL,116.1334991455078,116.46144987859228,BUY
2020-12-01,AAPL,119.71359252929688,119.82041675942158,BUY
2020-12-02,AAPL,120.06476593017578,120.22130228891992,BUY
2020-12-03,AAPL,119.92820739746094,120.259467969191,BUY
2020-12-04,AAPL,119.25509643554688,119.5896549268498,BUY
2020-12-07,AAPL,120.71835327148438,121.14434574060974,BUY
2020-12-08,AAPL,121.33292388916016,121.58239208961515,BUY
2020-12-09,AAPL,118.79660034179688,119.21430537092188,BUY
2020-12-10,AAPL,120.22084045410156,120.49633151717934,BUY
2020-12-11,AAPL,119.41117095947266,119.50353709788467,BUY
2020-12-14,AAPL,118.79660034179688,119.3040106059332,BUY
2020-12-15,AAPL,124.74717712402344,124.686371695782,SELL
2020-12-16,AAPL,124.67889404296876,124.92437034942354,BUY
2020-12-17,AAPL,125.54708862304688,125.88074241913222,BUY
2020-12-18,AAPL,123.55706024169922,123.60246099865262,BUY
2020-12-21,AAPL,125.0885772705078,124.88003164709758,SELL
2020-12-22,AAPL,128.64915466308594,128.75878052575692,BUY
2020-12-23,AAPL,127.75177764892578,128.1355760432062,BUY
2020-12-24,AAPL,128.7369842529297,129.32252837407069,BUY
2020-12-28,AAPL,133.34132385253906,133.41515467998298,BUY
2020-12-29,AAPL,131.56590270996094,131.8583501553978,BUY
2020-12-30,AAPL,130.44410705566406,130.7904655949884,BUY
2020-12-31,AAPL,129.4393310546875,129.68614094580084,BUY
2021-01-04,AAPL,126.23970794677734,125.98995310931728,SELL
2021-01-05,AAPL,127.80047607421876,128.02586340603665,BUY
2021-01-06,AAPL,123.49853515625,124.16108238107373,BUY
2021-01-07,AAPL,127.71270751953124,127.8681506772023,BUY
2021-01-08,AAPL,128.81497192382812,128.80365310154656,SELL
2021-01-11,AAPL,125.82022094726562,126.21601802608843,BUY
2021-01-12,AAPL,125.6446533203125,125.79846366619422,BUY
2021-01-13,AAPL,127.6834487915039,127.94611784116294,BUY
2021-01-14,AAPL,125.75194549560548,126.14222070385796,BUY
2021-01-15,AAPL,124.02530670166016,124.54717155491036,BUY
2021-01-19,AAPL,124.69841003417967,125.0341794841677,BUY
2021-01-20,AAPL,128.79550170898438,128.95003868024304,BUY
2021-01-21,AAPL,133.51695251464844,133.9442481112862,BUY
2021-01-22,AAPL,135.66305541992188,135.60943614344745,SELL
2021-01-25,AAPL,139.41873168945312,138.56613445055643,SELL
2021-01-26,AAPL,139.65286254882812,139.68418470424808,BUY
2021-01-27,AAPL,138.57980346679688,138.56393079788833,SELL
2021-01-28,AAPL,133.73155212402344,134.22829968717625,BUY
