date,ret,ticker
2024-04-15,,AAPL
2024-04-16,-0.019167279586534414,AAPL
2024-04-17,-0.008147389556206863,AAPL
2024-04-18,-0.0057143256777808515,AAPL
2024-04-19,-0.012212603975853775,AAPL
2024-04-22,0.005090886896306879,AAPL
2024-04-23,0.006391688265803275,AAPL
2024-04-24,0.012702279529689164,AAPL
2024-04-25,0.005147290824730311,AAPL
2024-04-26,-0.003472813820767917,AAPL
2024-04-29,0.024808014604454476,AAPL
2024-04-30,-0.01827088281812861,AAPL
2024-05-01,-0.006047077838456816,AAPL
2024-05-02,0.02203187040935095,AAPL
2024-05-03,0.05981625253732603,AAPL
2024-05-06,-0.009106762593950823,AAPL
2024-05-07,0.0037971886914498487,AAPL
2024-05-08,0.0018640987283840005,AAPL
2024-05-09,0.01001423758369735,AAPL
2024-05-10,-0.008235380680192916,AAPL
2024-05-13,0.017645428427694565,AAPL
2024-05-14,0.006173469529849429,AAPL
2024-05-15,0.012217940748059153,AAPL
2024-05-16,0.000632485327932919,AAPL
2024-05-17,0.00015802138577525326,AAPL
2024-05-20,0.006162101432736655,AAPL
2024-05-21,0.006857270013722827,AAPL
2024-05-22,-0.0075384047882530725,AAPL
2024-05-23,-0.021058088749084547,AAPL
2024-05-24,0.016588135507972,AAPL
2024-05-28,5.268852431883353e-05,AAPL
2024-05-29,0.0015789661787211084,AAPL
2024-05-30,0.005255137081729533,AAPL
2024-05-31,0.005018593484036549,AAPL
2024-06-03,0.009258771283728873,AAPL
2024-06-04,0.0016492672588364066,AAPL
2024-06-05,0.007820884826019947,AAPL
2024-06-06,-0.007096540686677422,AAPL
2024-06-07,0.012392038847459208,AAPL
2024-06-10,-0.019147769232301326,AAPL
2024-06-11,0.07264912559045644,AAPL
2024-06-12,0.02857839054869915,AAPL
2024-06-13,0.005491144359726752,AAPL
2024-06-14,-0.008168409051202308,AAPL
2024-06-17,0.019671478976528656,AAPL
2024-06-18,-0.010984469021671939,AAPL
2024-06-20,-0.021512906597537684,AAPL
2024-06-21,-0.010444426073609514,AAPL
2024-06-24,0.00313265159417897,AAPL
2024-06-25,0.004468184574312861,AAPL
2024-06-26,0.01999326794540668,AAPL
2024-06-27,0.003985960626099017,AAPL
2024-06-28,-0.016254137725925877,AAPL
2024-07-01,0.029104572333703782,AAPL
2024-07-02,0.016239927439266166,AAPL
2024-07-03,0.0058110444203451905,AAPL
2024-07-05,0.021620371113304726,AAPL
2024-07-08,0.006538884025246272,AAPL
2024-07-09,0.00377484559702701,AAPL
2024-07-10,0.018803582252402418,AAPL
2024-07-11,-0.023220827978926883,AAPL
2024-07-12,0.013050867277438316,AAPL
2024-07-15,0.01674330147811176,AAPL
2024-07-16,0.0017918662059346335,AAPL
2024-07-17,-0.025295980990260425,AAPL
2024-07-18,-0.020534830945314275,AAPL
2024-07-19,0.0005799129586043783,AAPL
2024-07-22,-0.0015602998017738567,AAPL
2024-07-23,0.004688282557118395,AAPL
2024-07-24,-0.02875428371474653,AAPL
2024-07-25,-0.004804556718339459,AAPL
2024-07-26,0.002161024455525684,AAPL
2024-07-29,0.0012846337432190769,AAPL
2024-07-30,0.0025659711533103646,AAPL
2024-07-31,0.014990853444005525,AAPL
2024-08-01,-0.016750725819666967,AAPL
2024-08-02,0.006869389978967133,AAPL
2024-08-05,-0.0481669985831521,AAPL
2024-08-06,-0.009748212850733573,AAPL
2024-08-07,0.01249824663455068,AAPL
2024-08-08,0.016633257613904107,AAPL
2024-08-09,0.013735914716165532,AAPL
2024-08-12,0.005965562584919537,AAPL
2024-08-13,0.017193056195245138,AAPL
2024-08-14,0.002033700635211577,AAPL
2024-08-15,0.01353057903429189,AAPL
2024-08-16,0.0059184844421056315,AAPL
2024-08-19,-0.0007078241979617816,AAPL
2024-08-20,0.0027446771387078517,AAPL
2024-08-21,-0.00048563247988708813,AAPL
2024-08-22,-0.008259695969967673,AAPL
2024-08-23,0.010288146667049025,AAPL
2024-08-26,0.0014988376978466444,AAPL
2024-08-27,0.0037415535298863656,AAPL
2024-08-28,-0.006753467940081581,AAPL
