date,open,high,low,close,volume,dividends,stock splits,symbol,ma7,ma21,returns,target,prediction,signal,daily_return,strategy_return,cumulative_market,cumulative_strategy
2023-02-01 00:00:00-05:00,142.1289302044529,144.7351696002277,139.51282411039048,143.57025146484375,77663600,0.0,0.0,AAPL,142.01750837053572,134.4963629586356,0.0079006862686812,181.41000366210935,194.1303641045899,1,-0.4204256022149563,-0.0,0.5795743977850437,1.0
2023-02-01 00:00:00-05:00,173.88999938964844,183.80999755859372,169.92999267578125,181.41000366210935,213806300,0.0,0.0,TSLA,163.96857125418526,136.44428507486978,0.0472809282051165,99.83128356933594,159.39195132001294,0,0.26356262395020935,0.26356262395020935,0.7323285468396322,1.2635626239502094
2023-02-01 00:00:00-05:00,98.121536192239,100.58675492794168,96.998275454454,99.83128356933594,35531100,0.0,0.0,GOOGL,97.4186030796596,92.83561306908015,0.016086677952648,105.1500015258789,210.2104944259656,1,-0.44969251114023623,-0.0,0.4030058836316379,1.2635626239502094
2023-02-01 00:00:00-05:00,102.52999877929688,106.23999786376952,101.23999786376952,105.1500015258789,80450100,0.0,0.0,AMZN,100.5414287022182,94.74380965459916,0.0195869710681486,148.89134216308594,199.35350643779492,1,0.053277066730780476,0.053277066730780476,0.42447685498677784,1.3308815341849247
2023-02-02 00:00:00-05:00,146.9958815985471,149.24672407231745,146.2752209542802,148.89134216308594,118339000,0.0,0.0,AAPL,143.18665422712053,135.70687357584634,0.0370626271386393,188.2700042724609,185.01237676728522,1,0.4159899191864649,0.4159899191864649,0.6010549475892524,1.8845148360372699
2023-02-02 00:00:00-05:00,187.3300018310547,196.75,182.6100006103516,188.2700042724609,217448300,0.0,0.0,TSLA,170.3085719517299,140.26190439860025,0.0378148970391338,112.91000366210938,155.28066629700206,0,0.26447919360040517,0.26447919360040517,0.7600214754371917,2.3829298002004067
2023-02-02 00:00:00-05:00,110.25,114.0,108.87999725341795,112.91000366210938,158154200,0.0,0.0,AMZN,102.9114292689732,96.03380984351747,0.0737993535294492,107.09769439697266,180.2247147619301,1,-0.4002761932341167,-0.0,0.4558029724730159,2.3829298002004067
2023-02-02 00:00:00-05:00,105.16926507055616,107.20703922697544,104.9803953489312,107.09769439697266,69883800,0.0,0.0,GOOGL,98.84433855329242,93.7169934227353,0.0727869117558723,259.33074951171875,201.778338027712,1,-0.05147736317970941,-0.05147736317970941,0.43233943732063135,2.260262857443738
2023-02-02 00:00:00-05:00,253.6658538917788,259.41895365843123,252.1271117650336,259.33074951171875,39940400,0.0,0.0,MSFT,244.270991734096,234.44538952055436,0.04688444466647,253.2051544189453,190.58518178968723,0,1.4214410120770005,1.0,1.0468844446664705,4.520525714887476
2023-02-03 00:00:00-05:00,254.3714588308541,258.93866192348526,251.9800472560027,253.2051544189453,29077300,0.0,0.0,MSFT,246.7548086983817,235.81050763811385,-0.0236207819716983,104.15534210205078,191.30108377587757,0,-0.023620781971698368,-0.0,1.0221562154494412,4.520525714887476
