date,symbol,action,actual_price,predicted_price,pnl
2025-07-05 23:49:56,AAPL,sell,213.55,206.5,33.01
2025-07-05 23:49:56,TSLA,buy,315.35,320.73,17.06
2025-07-05 23:49:56,MSFT,sell,498.84,492.5,12.71
2025-07-05 23:49:56,GOOGL,sell,179.53,177.7,10.19
2025-07-05 23:49:56,AMZN,sell,223.41,218.1,23.77
