ticker,pe_ratio,eps,revenue,market_cap,pb_ratio,dividend_yield,momentum,score_pe,score_eps,score_rev,score_cap,score_mom,total_score
BITO,15.0,5.0,1000000000.0,10000000000.0,1.5,49.98,-0.4600671974377538,97.59252573721822,19.466029089460054,0.0,0.22480780041254045,0.14975994021347713,23.486624513460857
USO,22.326777,5.0,1000000000.0,8788388864.0,1.82644,0.0,-0.3883454800327285,93.54275789845529,19.466029089460054,0.0,0.19711674065193388,0.17249476610992784,22.67567969893544
XLRE,35.427868,5.0,1000000000.0,10000000000.0,1.5,3.34,0.332154334308657,86.30132322881728,19.466029089460054,0.0,0.22480780041254045,0.4008835781760585,21.278608739373187
^GSPC,15.0,5.0,1000000000.0,10000000000.0,1.5,0.0,0.0,97.59252573721822,19.466029089460054,0.0,0.22480780041254045,0.2955950932585223,23.515791544069867
DBA,10.975507,5.0,1000000000.0,717323968.0,1.5370512,4.18,0.2561623538064326,99.81700483883773,19.466029089460054,0.0,0.012654635834444022,0.37679513594749164,23.93449674001594
MA,38.376938,14.83,30240999424.0,514500362240.0,65.658745,0.54,0.0,84.67126831650582,39.0516039051604,4.274462386596315,11.755033352941226,0.2955950932585223,28.009592610892458
DIA,22.428896,5.0,1000000000.0,35906924544.0,1.2338845,1.53,1.7456668812142573,93.48631312854803,19.466029089460054,0.0,0.8169038735221139,0.8489481647345473,22.92363885125295
XLK,38.183823,5.0,1000000000.0,71564328960.0,1.76124,0.59,5.693384043247214,84.778009782253,19.466029089460054,0.0,1.6318446472189752,2.100321746050396,21.59524105299648
GE,38.786324,7.02,41611001856.0,288736608256.0,15.08978,0.53,0.0,84.44498624780906,23.490735206216378,5.936534432300843,6.595261031939856,0.2955950932585223,24.152622402304935
C,13.623339,6.77,73325002752.0,169786212352.0,0.86242205,2.62,0.0,98.35345478455777,22.992628013548515,10.572501281203095,3.876680438169648,0.2955950932585223,27.21817192214751
PEP,25.646631,5.49,91747999744.0,192766476288.0,10.473074,4.08,0.0,91.70775760315648,20.442319187089062,13.26558322921774,4.401888438541055,0.2955950932585223,26.022628710252576
JPM,14.948692,19.49,163644997632.0,801116323840.0,2.3780763,1.92,0.0,97.62088547687881,48.336321976489344,23.775518567789383,18.305567171251493,0.2955950932585223,37.66677765713351
BAC,13.319647,3.41,98455003136.0,336423649280.0,1.2233684,2.46,0.0,98.52131605486659,16.29806734409245,14.246015987694097,7.685136045107515,0.2955950932585223,27.409226105003835
XLI,26.427872,5.0,1000000000.0,20620961792.0,1.534122,1.27,1.9970212638313074,91.27593817203105,19.466029089460054,0.0,0.467547140584296,0.9286241448123486,22.42762770937755
GOOGL,20.905117,9.38,371399000064.0,2375061602304.0,6.540039,0.43,0.0,94.32855947883036,28.192867105000996,54.145091651928006,54.27768022871285,0.2955950932585223,46.24795871154615
WMT,44.17094,2.34,685086015488.0,824856215552.0,9.8513155,0.95,0.0,81.46871923423839,14.166168559474,100.0,18.84813626836098,0.2955950932585223,42.95572383106638
^IXIC,15.0,5.0,1000000000.0,10000000000.0,1.5,0.0,0.0,97.59252573721822,19.466029089460054,0.0,0.22480780041254045,0.2955950932585223,23.515791544069867
PG,23.444786,6.52,84283998208.0,358054690816.0,6.9872465,2.81,0.0,92.92479492624426,22.494520820880656,12.174492143153735,8.179507915801132,0.2955950932585223,27.21378217986766
XOM,15.150783,7.03,329816014848.0,454078758912.0,1.7291988,3.69,0.0,97.50918265962324,23.510659493923093,48.066472256918686,10.374113205482864,0.2955950932585223,35.951204541841285
XLU,21.483585,5.0,1000000000.0,13979520000.0,1.3380215,2.66,1.0903321450277896,94.00881983039372,19.466029089460054,0.0,0.31575870278071505,0.6412158115484274,22.886364686836583
SLV,15.0,5.0,1000000000.0,11728806912.0,1.60905,0.0,1.4676722906503332,97.59252573721822,19.466029089460054,0.0,0.2643192361300987,0.7608275947691789,23.61674033151551
ARKK,46.176517,5.0,1000000000.0,10000000000.0,1.5,0.0,2.8187437369084627,80.36016615110748,19.466029089460054,0.0,0.22480780041254045,1.1890991869130705,20.248020445578625
GBTC,15.0,5.0,1000000000.0,62784110592.0,1.5,0.0,314.53819727178643,97.59252573721822,19.466029089460054,0.0,1.4311750228524132,100.0,43.697945969906144
^VIX,15.0,5.0,1000000000.0,10000000000.0,1.5,0.0,0.0,97.59252573721822,19.466029089460054,0.0,0.22480780041254045,0.2955950932585223,23.515791544069867
AMD,97.67664,1.67,29600000000.0,264482766848.0,4.4371905,0.0,0.0,51.894233338120934,12.831241283124129,4.180760803829309,6.040945747193907,0.2955950932585223,15.048555253105363
MRK,12.240371,6.49,63616000000.0,199476232192.0,4.1353464,4.01,0.0,99.11786993305186,22.43474795776051,9.153234912327832,4.555238177740502,0.2955950932585223,27.11133721482785
AAPL,32.359634,6.59,408624988160.0,3164715352064.0,48.12683,0.51,0.0,87.99724428319068,22.633990834827657,59.58680325736763,72.32501284648704,0.2955950932585223,48.5677292630263
XLE,15.645808,5.0,1000000000.0,15793841152.0,1.6256356,3.28,0.3281078539705921,97.23556489776374,19.466029089460054,0.0,0.35722454437971846,0.3996008979878556,23.49168388591827
BRK-B,16.058561,29.2,370150998016.0,1010791809024.0,0.0010099119,0.0,0.0,97.00742176951609,67.6828053397091,53.96265815383789,23.09764626168693,0.2955950932585223,48.4092253236017
XLB,25.908083,5.0,1000000000.0,6295480832.0,1.1063782,1.95,1.0815695687849805,91.5632438693578,19.466029089460054,0.0,0.14014197107387666,0.6384381919864245,22.36157062437563
