date,cash,market_value,total_value
2020-08-05,72.87405395506357,99927.12594604494,100000.0
2020-08-06,103486.38131713866,0.0,103486.38131713866
2020-08-07,43.58114624021982,103442.80017089844,103486.38131713866
2020-08-10,104989.90487670897,0.0,104989.90487670897
2020-08-11,75.82433319090342,104914.08054351807,104989.90487670897
2020-08-12,75.82433319090342,108400.81611633302,108476.64044952393
2020-08-13,75.82433319090342,110319.23347473143,110395.05780792233
2020-08-14,110296.76221466063,0.0,110296.76221466063
2020-08-17,28.78015899656748,110267.98205566406,110296.76221466063
2020-08-18,28.78015899656748,111186.82235717773,111215.6025161743
2020-08-19,28.78015899656748,111326.3402709961,111355.12042999266
2020-08-20,28.78015899656748,113796.6116333008,113825.39179229736
2020-08-21,119689.62918853758,0.0,119689.62918853758
2020-08-24,119689.62918853758,0.0,119689.62918853758
2020-08-25,119689.62918853758,0.0,119689.62918853758
2020-08-26,52.364486694321386,119637.26470184326,119689.62918853758
2020-08-27,52.364486694321386,118207.07842254639,118259.44290924071
2020-08-28,52.364486694321386,118015.57794952393,118067.94243621825
2020-08-31,122070.11711883543,0.0,122070.11711883543
2020-09-01,122070.11711883543,0.0,122070.11711883543
2020-09-02,122070.11711883543,0.0,122070.11711883543
2020-09-03,116.78020477293467,121953.3369140625,122070.11711883543
2020-09-04,122150.82540130614,0.0,122150.82540130614
2020-09-08,89.05818939207529,122061.76721191406,122150.82540130614
2020-09-09,89.05818939207529,126930.37684631348,127019.43503570555
2020-09-10,89.05818939207529,122786.64826202394,122875.70645141602
2020-09-11,121263.64945220944,0.0,121263.64945220944
2020-09-14,121263.64945220944,0.0,121263.64945220944
2020-09-15,121263.64945220944,0.0,121263.64945220944
2020-09-16,57.623222351045115,121206.0262298584,121263.64945220944
2020-09-17,57.623222351045115,119271.13952636717,119328.76274871822
2020-09-18,115545.47943878171,0.0,115545.47943878171
2020-09-21,115545.47943878171,0.0,115545.47943878171
2020-09-22,115545.47943878171,0.0,115545.47943878171
2020-09-23,67.91027069088886,115477.56916809082,115545.47943878171
2020-09-24,67.91027069088886,116663.41859436037,116731.32886505125
2020-09-25,121108.06322479245,0.0,121108.06322479245
2020-09-28,121108.06322479245,0.0,121108.06322479245
2020-09-29,5.464042663545115,121102.5991821289,121108.06322479245
2020-09-30,5.464042663545115,122928.33587646484,122933.79991912839
2020-10-01,5.464042663545115,123968.58100891113,123974.04505157468
2020-10-02,5.464042663545115,119966.85264587402,119972.31668853757
2020-10-05,5.464042663545115,123660.7544708252,123666.21851348874
2020-10-06,5.464042663545115,120115.46028137207,120120.92432403562
2020-10-07,5.464042663545115,122153.4888458252,122158.95288848874
2020-10-08,5.464042663545115,122036.70669555666,122042.1707382202
2020-10-09,5.464042663545115,124159.65034484863,124165.11438751218
2020-10-12,132051.80559539792,0.0,132051.80559539792
2020-10-13,132051.80559539792,0.0,132051.80559539792
2020-10-14,108.28972625729511,131943.51586914062,132051.80559539792
2020-10-15,108.28972625729511,131420.91194152832,131529.20166778562
2020-10-16,108.28972625729511,129580.96978759766,129689.25951385495
2020-10-19,108.28972625729511,126271.23020935057,126379.51993560787
2020-10-20,108.28972625729511,127936.97105407715,128045.26078033444
2020-10-21,108.28972625729511,127240.19140625,127348.4811325073
2020-10-22,108.28972625729511,126020.81636047363,126129.10608673093
2020-10-23,108.28972625729511,125247.80711364748,125356.09683990477
2020-10-26,108.28972625729511,125258.67390441895,125366.96363067624
2020-10-27,108.28972625729511,126946.23362731932,127054.52335357662
2020-10-28,108.28972625729511,121067.07804870605,121175.36777496335
2020-10-29,108.28972625729511,125552.66580200195,125660.95552825925
2020-10-30,108.28972625729511,118519.43827819824,118627.72800445554
2020-11-02,108.28972625729511,118421.4409790039,118529.7307052612
2020-11-03,108.28972625729511,120239.64102172853,120347.93074798583
2020-11-04,108.28972625729511,125149.81834411623,125258.10807037352
2020-11-05,108.28972625729511,129591.85363769533,129700.14336395262
2020-11-06,129552.92137908933,0.0,129552.92137908933
2020-11-09,83.23213958737324,129469.68923950195,129552.92137908933
2020-11-10,83.23213958737324,129080.1255569458,129163.35769653317
2020-11-11,83.23213958737324,132998.03883361813,133081.2709732055
2020-11-12,83.23213958737324,132686.39485168457,132769.62699127194
2020-11-13,83.23213958737324,132742.0555114746,132825.28765106198
2020-11-16,83.23213958737324,133899.63009643555,133982.86223602292
2020-11-17,83.23213958737324,132886.75233459476,132969.98447418213
2020-11-18,83.23213958737324,131373.01568603513,131456.2478256225
2020-11-19,83.23213958737324,132051.94689941406,132135.17903900144
2020-11-20,83.23213958737324,130604.99607849123,130688.2282180786
2020-11-23,83.23213958737324,126720.4757156372,126803.70785522458
2020-11-24,83.23213958737324,128189.68557739258,128272.91771697995
2020-11-25,83.23213958737324,129146.91138458252,129230.1435241699
2020-11-27,83.23213958737324,129770.21675872801,129853.44889831539
2020-11-30,83.23213958737324,132508.32252502438,132591.55466461176
2020-12-01,83.23213958737324,136593.20907592773,136676.4412155151
2020-12-02,83.23213958737324,136993.89792633057,137077.13006591794
2020-12-03,83.23213958737324,136838.08464050293,136921.3167800903
2020-12-04,83.23213958737324,136070.06503295898,136153.29717254636
2020-12-07,83.23213958737324,137739.64108276367,137822.87322235105
2020-12-08,83.23213958737324,138440.86615753174,138524.0982971191
2020-12-09,83.23213958737324,135546.92098999023,135630.1531295776
2020-12-10,83.23213958737324,137171.97895812988,137255.21109771726
2020-12-11,83.23213958737324,136248.1460647583,136331.37820434567
2020-12-14,83.23213958737324,135546.92098999023,135630.1531295776
2020-12-15,142419.76123809812,0.0,142419.76123809812
2020-12-16,36.464241027773824,142383.29699707034,142419.76123809812
2020-12-17,36.464241027773824,143374.77520751953,143411.2394485473
2020-12-18,36.464241027773824,141102.1627960205,141138.62703704828
2020-12-21,142887.61948394767,0.0,142887.61948394767
2020-12-22,87.05780792227597,142800.5616760254,142887.61948394767
2020-12-23,87.05780792227597,141804.47319030762,141891.5309982299
2020-12-24,87.05780792227597,142898.05252075195,142985.11032867423
2020-12-28,87.05780792227597,148008.86947631836,148095.92728424064
2020-12-29,87.05780792227597,146038.15200805664,146125.20981597892
2020-12-30,87.05780792227597,144792.9588317871,144880.01663970939
2020-12-31,87.05780792227597,143677.65747070312,143764.7152786254
2021-01-04,140213.13362884513,0.0,140213.13362884513
2021-01-05,16.01137542712968,140197.122253418,140213.13362884513
2021-01-06,16.01137542712968,135477.89306640625,135493.90444183338
2021-01-07,16.01137542712968,140100.84014892575,140116.85152435288
2021-01-08,141326.03557586658,0.0,141326.03557586658
2021-01-11,29.92745208728593,141296.1081237793,141326.03557586658
2021-01-12,29.92745208728593,141098.94567871094,141128.87313079822
2021-01-13,29.92745208728593,143388.5129928589,143418.44044494617
2021-01-14,29.92745208728593,141219.43479156497,141249.36224365226
